"Billing Tag","Client","Agent","Instance","Backupset","Subclient","Storage Policy","Copy","Front End Backup Size","Front End Archive Size","Primary App Size","Protected App Size","Media Size"
"DCCM - OnPremisses","_PFXSRV0000543_OLD-off-26032021_Pedido-Balbi","Virtual Server in RJ2K12VCENTER01","VMware","defaultBackupSet","GSATRJ_VM_DT_HLM","#STP_DATACENTER_VM_01","Primary","0.003","0","0.011","0.011","0.002"
"DCCM - OnPremisses","_PFXSRV0000543_OLD-off-26032021_Pedido-Balbi","Virtual Server in RJ2K12VCENTER01","VMware","defaultBackupSet","GSATRJ_VM_DT_VOLACI","#STP_DATACENTER_VM_01","Primary","0","0","0.011","0.011","0.002"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK/DADOS_P","_STP_DATACENTER_CLOUD_VAULT","Primary","8.153","0","8.152","8.152","6.798"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","DADOS_T","_STP_DATACENTER_CLOUD_VAULT","Primary","4.56","0","0.001","0.001","3.93"
"DCCM - OnPremisses","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGCOM","#STP_DATACENTER_FS_02","1.Primary","3.8","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","B","_STP_DATACENTER_CLOUD_VAULT","Primary","3.32","0","3.044","3.044","2.831"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","ASPERA","_STP_DATACENTER_CLOUD_VAULT","Primary","2.066","0","2.03","2.03","1.661"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGIAP-OBRAS","_STP_DATACENTER_CLOUD_VAULT","Primary","1.405","0","1.405","1.405","1.059"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CONTABILIDADEOPERACIONAL","_STP_DATACENTER_CLOUD_VAULT","Primary","0.689","0","0.689","0.689","0.361"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","BKP_ENCRYPTED","_STP_DATACENTER_CLOUD_VAULT","Primary","0.533","0","0.533","0.533","0.495"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SIST_*","_STP_DATACENTER_CLOUD_VAULT","Primary","0.531","0","0.532","0.532","0.356"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SOFT/UNITFS/USERS","_STP_DATACENTER_CLOUD_VAULT","Primary","0.478","0","0","0","0.387"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","FTP/IBM_AMS/LOCAL/PUBLIC","_STP_DATACENTER_CLOUD_VAULT","Primary","0.277","0","0.278","0.278","0.181"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK","_STP_DATACENTER_CLOUD_VAULT","Primary","0.164","0","0.164","0.164","0.15"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","JBPAFSCSR001/XXTVG","_STP_DATACENTER_CLOUD_VAULT","Primary","0.092","0","0.093","0.093","0.082"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SOFT/UNITFS/USERS","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SOFT/UNITFS/USERS","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGIAP-OBRAS","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGIAP-OBRAS","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","ASPERA","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","ASPERA","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","B","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","B","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","BKP_ENCRYPTED","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","BKP_ENCRYPTED","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGCOM","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGCOM","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","3.412"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CGCOM","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CONTABILIDADEOPERACIONAL","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","CONTABILIDADEOPERACIONAL","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","DADOS_T","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","DADOS_T","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","FTP/IBM_AMS/LOCAL/PUBLIC","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
