"Billing Tag","Client","Agent","Instance","Backupset","Subclient","Storage Policy","Copy","Front End Backup Size","Front End Backup Cost","Front End Archive Size","Front End Archive Cost","Primary App Size","Primary App Cost","Protected App Size","Protected App Cost","Media Size","Media Cost","Total Cost"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS - ate - 18-04-2020","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_FLASHVIDEOS","#STP_DATACENTER_LOG_01","2.AWS","0","0","12.232","12.232","0","0","0","0","0","0","12.232"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/DADOS_T","STP_TVGRJ_FS_FILE","2.AWS","3.045","3.045","0","0","0","0","0","0","0","0","3.045"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/CGIAP-OBRASv","STP_TVGRJ_FS_FILE","2.AWS","1.296","1.296","0","0","0","0","0","0","0","0","1.296"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/aspera","STP_TVGRJ_FS_FILE","2.AWS","1.874","1.874","0","0","0","0","0","0","0","0","1.874"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","diversos","STP_TVGRJ_FS_FILE","2.AWS","1.33","1.33","0","0","0","0","0","0","0","0","1.33"
"DCCM - OnPremisses","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02","#STP_DATACENTER_FS_02","1.Primary","0.016","0.016","0","0","0.14","0.14","0.14","0.14","0.021","1.42","1.716"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0","0","0.016","0.016","0.015","4.937","4.953"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02_RETENCAO EXTENDIDA","_STP_DATACENTER_CLOUD_VAULT","Primary","0.216","0.216","0","0","0","0","0","0","0","0","0.216"
"DCCM - OnPremisses","cmay22lb11","Linux File System","DefaultInstanceName","defaultBackupSet","MIGRACAO","#STP_DATACENTER_FS_02","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","defaultBackupSet","MIGRACAO","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ARANGODB","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ARANGODB","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CASSANDRA","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CASSANDRA","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_DEV - Até 15-09-2020","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MONGO","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MONGO","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_01","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_01","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_02","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
